"Year","NYCHA Development","Borough","Total number of resident job placements","Average wage of such residents","Total number of resident connections to services","Total number of residents that applied for the NYCHA Resident Training Academy","Total number of residents that were accepted and enrolled","Total number residents placed into full-time or part-time jobs","Average Wage of such residents","Number of residents that enrolled in financial counseling services/workshops through the REES Zone Partner program","Total number of residents enrolled in vocational training programs through the program","Total number of residents enrolled in prep courses for English as a Second Language (ESOL) or the Test Assessing Secondary Completion (TASC) through the program"
"2021","SEWARD PARK EXTENSION","MANHATTAN","<5","20.00","10","<5","<5","N/A","N/A","<5","N/A","N/A"
"2021","SHEEPSHEAD BAY","BROOKLYN","6","15.80","16","18","5","<5","15.80","<5","<5","<5"
"2021","SHELTON HOUSE","QUEENS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2021","SMITH","MANHATTAN","15","28.68","37","11","<5","<5","17.25","<5","<5","N/A"
"2021","SOTOMAYOR HOUSES","BRONX","6","19.21","46","5","<5","<5","15.80","7","<5","N/A"
"2021","SOUNDVIEW","BRONX","5","30.94","38","11","<5","<5","33.68","11","<5","N/A"
"2021","SOUTH BEACH","STATEN ISLAND","<5","21.19","10","<5","<5","N/A","N/A","7","<5","N/A"
"2021","SOUTH BRONX AREA (SITE 402)","BRONX","<5","21.91","<5","N/A","N/A","N/A","N/A","<5","N/A","N/A"
"2021","SOUTH JAMAICA I","QUEENS","5","28.23","16","<5","N/A","<5","41.45","<5","<5","N/A"
"2021","SOUTH JAMAICA II","QUEENS","5","22.22","20","<5","<5","<5","20.83","<5","<5","<5"
"2021","STANTON STREET","MANHATTAN","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2021","STAPLETON","STATEN ISLAND","7","34.34","44","<5","<5","<5","34.34","<5","<5","N/A"
"2021","STEBBINS AVENUE-HEWITT PLACE","BRONX","<5","17.15","<5","<5","<5","<5","15.80","N/A","N/A","N/A"
"2021","STERLING PLACE REHABS (SAINT JOHNS-STERLING)","BROOKLYN","N/A","N/A","5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2021","STERLING PLACE REHABS (STERLING-BUFFALO)","BROOKLYN","N/A","N/A","6","<5","<5","N/A","N/A","N/A","N/A","N/A"
"2021","STRAUS","MANHATTAN","<5","21.92","7","<5","N/A","N/A","N/A","<5","N/A","N/A"
"2021","STUYVESANT GARDENS I","BROOKLYN","<5","29.50","<5","<5","N/A","N/A","N/A","N/A","<5","N/A"
"2021","STUYVESANT GARDENS II","BROOKLYN","N/A","N/A","N/A","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"2021","SUMNER","BROOKLYN","7","19.35","21","14","<5","<5","15.80","<5","<5","<5"
"2021","SURFSIDE GARDENS","BROOKLYN","<5","43.00","<5","5","N/A","N/A","N/A","<5","N/A","N/A"
"2021","SUTTER AVENUE-UNION STREET","BROOKLYN","N/A","N/A","<5","<5","<5","N/A","N/A","N/A","N/A","N/A"
"2021","TAFT","MANHATTAN","7","24.52","21","10","<5","<5","15.80","<5","<5","<5"
"2021","TAPSCOTT STREET REHAB","BROOKLYN","N/A","N/A","10","<5","N/A","N/A","N/A","<5","<5","N/A"
"2021","TAYLOR STREET-WYTHE AVENUE","BROOKLYN","<5","22.21","<5","5","N/A","<5","15.80","N/A","N/A","N/A"
"2021","TELLER AVENUE-EAST 166TH STREET","BRONX","N/A","N/A","<5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2021","THOMAS APARTMENTS","MANHATTAN","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2021","THROGGS NECK","BRONX","<5","15.39","16","10","N/A","N/A","N/A","<5","<5","N/A"
"2021","THROGGS NECK ADDITION","BRONX","<5","15.80","<5","<5","<5","<5","15.80","<5","N/A","N/A"
"2021","TILDEN","BROOKLYN","11","15.80","35","16","<5","<5","15.80","<5","N/A","<5"
"2021","TODT HILL","STATEN ISLAND","<5","26.66","21","<5","N/A","N/A","N/A","9","<5","N/A"
"2021","TOMPKINS","BROOKLYN","13","18.09","41","22","<5","<5","15.80","<5","<5","<5"
"2021","TWIN PARKS EAST (SITE 9)","BRONX","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2021","TWIN PARKS WEST (SITES 1 & 2)","BRONX","8","22.54","N/A","N/A","N/A","N/A","N/A","N/A","9","N/A"
"2021","TWO BRIDGES URA (SITE 7)","MANHATTAN","<5","23.00","5","N/A","N/A","N/A","N/A","<5","N/A","N/A"
"2021","UNION AVENUE-EAST 163RD STREET","BRONX","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2021","UNION AVENUE-EAST 166TH STREET","BRONX","N/A","N/A","<5","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"2021","UNITY PLAZA (SITES 17,24,25A)","BROOKLYN","8","33.62","7","N/A","N/A","<5","40.65","<5","N/A","N/A"
"2021","UNITY PLAZA (SITES 4-27)","BROOKLYN","N/A","N/A","17","8","<5","N/A","N/A","<5","N/A","N/A"
"2021","UNIVERSITY AVENUE REHAB","BRONX","<5","29.50","9","<5","N/A","N/A","N/A","N/A","<5","N/A"
"2021","UPACA (SITE 5)","MANHATTAN","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2021","UPACA (SITE 6)","MANHATTAN","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2021","VAN DYKE I","BROOKLYN","20","27.66","32","30","<5","<5","15.53","<5","N/A","<5"
"2021","VAN DYKE II","BROOKLYN","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2021","VANDALIA AVENUE","BROOKLYN","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2021","VLADECK","MANHATTAN","7","18.50","18","8","<5","<5","15.80","5","N/A","N/A"
"2021","VLADECK II","MANHATTAN","<5","21.19","<5","<5","N/A","N/A","N/A","N/A","<5","N/A"
"2021","WAGNER","MANHATTAN","11","23.61","50","10","<5","<5","15.80","5","10","N/A"
"2021","WALD","MANHATTAN","14","34.01","26","<5","<5","<5","15.80","<5","5","<5"
"2021","WASHINGTON","MANHATTAN","11","23.18","40","21","<5","<5","15.80","<5","<5","N/A"
"2021","WASHINGTON HEIGHTS REHAB (GROUPS 1&2)","MANHATTAN","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<5","N/A"
"2021","WASHINGTON HEIGHTS REHAB PHASE III (FORT WASHINGTON)","MANHATTAN","<5","18.00","N/A","N/A","N/A","N/A","N/A","N/A","<5","N/A"
"2021","WASHINGTON HEIGHTS REHAB PHASE III (HARLEM RIVER)","MANHATTAN","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2021","WASHINGTON HEIGHTS REHAB PHASE IV (C)","MANHATTAN","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2021","WASHINGTON HEIGHTS REHAB PHASE IV (D)","MANHATTAN","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2021","WEBSTER","BRONX","<5","15.80","12","<5","N/A","<5","15.80","<5","<5","N/A"
"2021","WEEKSVILLE GARDENS","BROOKLYN","N/A","N/A","<5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2021","WEST BRIGHTON I","STATEN ISLAND","<5","21.91","28","5","N/A","N/A","N/A","8","N/A","N/A"
"2021","WEST BRIGHTON II","STATEN ISLAND","N/A","N/A","<5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2021","WEST FARMS ROAD REHAB","BRONX","N/A","N/A","<5","<5","N/A","N/A","N/A","N/A","<5","N/A"
"2021","WEST FARMS SQUARE CONVENTIONAL","BRONX","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2021","WEST TREMONT AVENUE-SEDGWICK AVENUE AREA","BRONX","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2021","WHITE","MANHATTAN","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2021","WHITMAN","BROOKLYN","11","22.27","33","22","<5","<5","15.80","<5","<5","N/A"
"2021","WILLIAMS PLAZA","BROOKLYN","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<5","N/A"
"2021","WILLIAMSBURG","BROOKLYN","21","22.35","24","11","<5","<5","15.80","N/A","20","N/A"
"2021","WILSON","MANHATTAN","7","23.17","17","11","<5","<5","15.80","<5","N/A","N/A"
"2021","WISE TOWERS","MANHATTAN","<5","18.99","<5","N/A","N/A","N/A","N/A","N/A","<5","N/A"
"2021","WOODSIDE","QUEENS","10","16.24","32","15","7","7","15.80","8","<5","N/A"
"2021","WOODSON","BROOKLYN","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2021","WSUR (BROWNSTONES)","MANHATTAN","N/A","N/A","<5","<5","N/A","N/A","N/A","<5","N/A","N/A"
"2021","WSUR (SITE A) 120 WEST 94TH STREET","MANHATTAN","N/A","N/A","<5","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"2021","WSUR (SITE B) 74 WEST 92ND STREET","MANHATTAN","N/A","N/A","<5","5","N/A","N/A","N/A","N/A","N/A","N/A"
"2021","WSUR (SITE C) 589 AMSTERDAM AVENUE","MANHATTAN","N/A","N/A","N/A","<5","N/A","N/A","N/A","N/A","<5","N/A"
"2021","WYCKOFF GARDENS","BROOKLYN","7","26.33","19","6","<5","<5","15.80","<5","<5","N/A"
"2021","SECTION 8*",,"15","24.92","763","<5","<5","<5","15.80","157","15","<5"
"2021","Unknown",,"71","33.11","187","14","N/A","N/A","N/A","49","29","<5"
"2020","1010 EAST 178TH STREET","Bronx","N/A","N/A","<5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","WILSON","Manhattan","<5","15.53","13","5","<5","<5","15.60","N/A","<5","N/A"
"2020","WHITE","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","WASHINGTON HEIGHTS REHAB PHASE IV (D)","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","WASHINGTON HEIGHTS REHAB PHASE IV (C)","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","WASHINGTON HEIGHTS REHAB PHASE III","Manhattan","N/A","N/A","<5","N/A","N/A","N/A","N/A","N/A","<5","N/A"
"2020","WASHINGTON HEIGHTS REHAB (GROUPS 1&2)","Manhattan","N/A","N/A","5","<5","N/A","N/A","N/A","<5","N/A","N/A"
"2020","WASHINGTON","Manhattan","12","19.34","26","15","<5","<5","15.00","N/A","13","<5"
"2020","WALD","Manhattan","9","30.71","17","9","<5","N/A","N/A","N/A","<5","N/A"
"2020","WAGNER","Manhattan","15","16.03","37","10","<5","<5","15.27","N/A","16","N/A"
"2020","VLADECK II","Manhattan","N/A","N/A","<5","N/A","N/A","N/A","N/A","N/A","<5","N/A"
"2020","VLADECK","Manhattan","5","18.25","16","6","<5","<5","15.80","N/A","<5","N/A"
"2020","UPACA (SITE 6)","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","UPACA (SITE 5)","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","TWO BRIDGES URA (SITE 7)","Manhattan","<5","28.70","6","N/A","N/A","N/A","N/A","N/A","<5","N/A"
"2020","THOMAS APARTMENTS","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","TAFT","Manhattan","6","36.41","26","9","N/A","N/A","N/A","N/A","<5","N/A"
"2020","STRAUS","Manhattan","<5","15.30","6","<5","N/A","N/A","N/A","<5","N/A","N/A"
"2020","STANTON STREET","Manhattan","N/A","N/A","<5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","SMITH","Manhattan","15","29.68","20","5","<5","<5","23.06","<5","<5","N/A"
"2020","SEWARD PARK EXTENSION","Manhattan","<5","20.44","6","<5","N/A","N/A","N/A","N/A","<5","N/A"
"2020","SAMUEL (MHOP) III","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","SAMUEL (MHOP) II","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","SAMUEL (MHOP) I","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","SAMUEL (CITY)","Manhattan","<5","21.97","8","<5","<5","N/A","N/A","N/A","<5","N/A"
"2020","SAINT NICHOLAS","Manhattan","8","33.35","24","11","<5","N/A","N/A","<5","9","N/A"
"2020","RUTGERS","Manhattan","<5","18.78","17","6","N/A","N/A","N/A","N/A","<5","N/A"
"2020","ROBINSON","Manhattan","<5","20.40","5","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","ROBBINS PLAZA","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","RIIS II","Manhattan","<5","15.80","8","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","RIIS","Manhattan","<5","26.81","19","<5","<5","N/A","N/A","N/A","7","N/A"
"2020","REHAB PROGRAM (WISE REHAB)","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","REHAB PROGRAM (TAFT REHABS)","Manhattan","<5","19.47","<5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","REHAB PROGRAM (DOUGLASS REHABS)","Manhattan","N/A","N/A","<5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","RANGEL","Manhattan","N/A","N/A","19","9","N/A","N/A","N/A","N/A","<5","N/A"
"2020","RANDOLPH SOUTH","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","PUBLIC SCHOOL 139 (CONVERSION)","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","Section 8",,"32","20.82","429","<5","N/A","<5","N/A","35","9","N/A"
"2020","POLO GROUNDS TOWERS","Manhattan","12","22.22","17","11","<5","<5","15.40","N/A","6","N/A"
"2020","POLICE SERVICE AREA #6","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","POLICE SERVICE AREA #5","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","POLICE SERVICE AREA #4","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","Unknown","N/A","165","33.40","124","6","N/A","N/A","N/A","6","20","<5"
"2020","WEST BRIGHTON II","Staten Island","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","WEST BRIGHTON I","Staten Island","<5","15.00","14","<5","<5","<5","15.00","<5","N/A","N/A"
"2020","TODT HILL","Staten Island","<5","15.90","14","<5","N/A","<5","15.80","6","N/A","N/A"
"2020","STAPLETON","Staten Island","<5","15.00","16","<5","<5","N/A","N/A","<5","<5","N/A"
"2020","SOUTH BEACH","Staten Island","<5","20.44","<5","<5","N/A","N/A","N/A","<5","<5","N/A"
"2020","RICHMOND TERRACE","Staten Island","5","18.12","16","<5","<5","<5","15.80","<5","<5","N/A"
"2020","POLICE SERVICE AREA SATELLITE/ STATEN ISLAND HOUSING UNIT","Staten Island","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","NEW LANE AREA","Staten Island","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","MARINER'S HARBOR","Staten Island","<5","15.80","18","6","<5","<5","15.80","9","N/A","N/A"
"2020","CASSIDY-LAFAYETTE","Staten Island","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","BERRY","Staten Island","<5","16.90","10","5","<5","<5","18.00","<5","N/A","N/A"
"2020","WOODSIDE","Queens","7","23.54","29","7","<5","<5","15.80","<5","<5","N/A"
"2020","SOUTH JAMAICA II","Queens","<5","15.00","<5","<5","<5","<5","15.00","N/A","<5","N/A"
"2020","SOUTH JAMAICA I","Queens","5","15.40","6","5","<5","<5","15.53","N/A","<5","N/A"
"2020","SHELTON HOUSE","Queens","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","REHAB PROGRAM (COLLEGE POINT)","Queens","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","REDFERN","Queens","7","23.45","35","8","<5","<5","15.80","N/A","N/A","N/A"
"2020","RAVENSWOOD","Queens","11","19.93","45","21","5","<5","15.20","<5","5","N/A"
"2020","QUEENSBRIDGE SOUTH","Queens","13","28.20","24","10","<5","N/A","N/A","<5","<5","N/A"
"2020","QUEENSBRIDGE NORTH","Queens","<5","19.33","31","6","<5","N/A","N/A","<5","<5","N/A"
"2020","POMONOK","Queens","10","17.05","25","12","<5","<5","15.80","<5","<5","N/A"
"2020","POLICE SERVICE AREA #9 SATELLITE","Queens","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","POLICE SERVICE AREA #9","Queens","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","OCEAN BAY APARTMENTS (OCEANSIDE)","Queens","5","32.79","<5","N/A","N/A","N/A","N/A","N/A","<5","N/A"
"2020","OCEAN BAY APARTMENTS (BAYSIDE)","Queens","<5","38.40","8","<5","N/A","N/A","N/A","<5","N/A","N/A"
"2020","LEAVITT STREET-34TH AVENUE","Queens","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","LATIMER GARDENS","Queens","<5","15.80","5","<5","N/A","N/A","N/A","N/A","<5","N/A"
"2020","INTERNATIONAL TOWER","Queens","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","HAMMEL","Queens","<5","17.72","14","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","FOREST HILLS COOP (108TH STREET-62ND DRIVE)","Queens","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","CONLON LIHFE TOWER","Queens","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","CARLETON MANOR","Queens","N/A","N/A","<5","N/A","N/A","N/A","N/A","N/A","N/A","<5"
"2020","BLAND","Queens","<5","38.46","<5","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","BEACH 41ST STREET-BEACH CHANNEL DRIVE","Queens","5","17.37","22","14","<5","<5","15.80","<5","N/A","N/A"
"2020","BAISLEY PARK","Queens","N/A","N/A","<5","6","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","ASTORIA","Queens","11","19.69","31","9","<5","<5","15.80","6","<5","N/A"
"2020","NON DEVELOPMENT FACILITY","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","FHA REPOSSESSED HOUSES (GROUP X)","Various","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","FHA REPOSSESSED HOUSES (GROUP IX)","Various","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","FHA REPOSSESSED HOUSES (GROUP VIII)","Various","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","FHA REPOSSESSED HOUSES (GROUP VII)","Various","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","FHA REPOSSESSED HOUSES (GROUP VI)","Various","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","FHA REPOSSESSED HOUSES (GROUP V)","Various","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","FHA REPOSSESSED HOUSES (GROUP IV)","Various","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","FHA REPOSSESSED HOUSES (GROUP III)","Various","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","FHA REPOSSESSED HOUSES (GROUP II)","Various","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","FHA REPOSSESSED HOUSES (GROUP I)","Various","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","WSUR (SITE C) 589 AMSTERDAM AVENUE","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<5","N/A"
"2020","WSUR (SITE B) 74 WEST 92ND STREET","Manhattan","<5","16.25","<5","N/A","N/A","N/A","N/A","N/A","N/A","<5"
"2020","WSUR (SITE A) 120 WEST 94TH STREET","Manhattan","N/A","N/A","<5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","WSUR (BROWNSTONES)","Manhattan","N/A","N/A","<5","<5","N/A","N/A","N/A","N/A","<5","N/A"
"2020","WISE TOWERS","Manhattan","N/A","N/A","7","N/A","N/A","N/A","N/A","N/A","<5","N/A"
"2020","PARK AVENUE-EAST 122ND, 123RD STREETS","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","MORRIS PARK SENIOR CITIZENS HOME","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","METRO NORTH PLAZA","Manhattan","<5","38.40","5","6","<5","<5","15.80","N/A","<5","N/A"
"2020","MELTZER TOWER","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","MARSHALL PLAZA","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","MANHATTANVILLE REHAB (GROUP 3)","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","MANHATTANVILLE REHAB (GROUP 2)","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","MANHATTANVILLE","Manhattan","11","31.78","17","12","<5","<5","15.80","N/A","8","N/A"
"2020","LOWER EAST SIDE REHAB (GROUP 5)","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","LOWER EAST SIDE III","Manhattan","N/A","N/A","<5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","LOWER EAST SIDE II","Manhattan","N/A","N/A","7","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","LOWER EAST SIDE I INFILL","Manhattan","<5","19.33","N/A","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","LINCOLN","Manhattan","9","17.29","27","5","<5","<5","15.53","<5","5","N/A"
"2020","LEXINGTON","Manhattan","<5","18.12","15","<5","<5","<5","15.80","<5","<5","N/A"
"2020","LEHMAN VILLAGE","Manhattan","5","18.26","<5","<5","<5","<5","15.00","<5","<5","N/A"
"2020","LAVANBURG HOMES","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","LA GUARDIA ADDITION","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","LA GUARDIA","Manhattan","6","33.93","9","7","<5","<5","15.80","N/A","<5","N/A"
"2020","KING TOWERS","Manhattan","12","18.71","16","8","<5","<5","15.53","<5","12","N/A"
"2020","JOHNSON","Manhattan","14","20.49","26","5","<5","<5","16.71","N/A","8","<5"
"2020","JEFFERSON","Manhattan","11","21.89","26","8","<5","<5","18.12","<5","8","<5"
"2020","ISAACS","Manhattan","<5","16.71","12","9","<5","<5","15.40","N/A","<5","N/A"
"2020","HOLMES TOWERS","Manhattan","<5","18.22","15","<5","<5","N/A","N/A","<5","<5","N/A"
"2020","HERNANDEZ","Manhattan","N/A","N/A","<5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","HARLEM RIVER II","Manhattan","<5","19.89","<5","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","HARLEM RIVER","Manhattan","6","18.25","8","<5","<5","<5","15.00","N/A","5","N/A"
"2020","HARBORVIEW TERRACE","Manhattan","N/A","N/A","<5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","GRANT","Manhattan","11","17.10","24","7","<5","<5","15.53","N/A","<5","N/A"
"2020","GRAMPION","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","GOMPERS","Manhattan","<5","17.72","5","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","FULTON","Manhattan","<5","18.81","8","7","N/A","N/A","N/A","N/A","<5","N/A"
"2020","FORT WASHINGTON AVENUE REHAB","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","FIRST HOUSES","Manhattan","<5","38.40","<5","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","ELLIOTT","Manhattan","<5","21.00","15","<5","N/A","N/A","N/A","N/A","<5","N/A"
"2020","EAST RIVER","Manhattan","9","23.01","33","6","N/A","<5","15.00","N/A","5","<5"
"2020","DYCKMAN","Manhattan","<5","17.17","13","8","<5","<5","15.00","<5","<5","N/A"
"2020","DREW-HAMILTON","Manhattan","<5","15.60","18","7","<5","<5","15.40","<5","5","N/A"
"2020","DOUGLASS II","Manhattan","<5","37.24","14","5","N/A","<5","55.97","N/A","<5","N/A"
"2020","DOUGLASS I","Manhattan","7","16.70","25","8","<5","<5","15.80","<5","<5","N/A"
"2020","DOUGLASS ADDITION","Manhattan","N/A","N/A","<5","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","DE HOSTOS APARTMENTS","Manhattan","N/A","N/A","10","<5","N/A","N/A","N/A","<5","N/A","N/A"
"2020","CORSI HOUSES","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","CLINTON","Manhattan","5","17.17","15","<5","<5","<5","15.00","N/A","<5","N/A"
"2020","CHELSEA ADDITION","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","CHELSEA","Manhattan","<5","17.53","<5","6","<5","<5","15.80","N/A","<5","N/A"
"2020","CARVER","Manhattan","<5","16.90","32","7","<5","<5","15.80","<5","8","N/A"
"2020","CAMPOS PLAZA II","Manhattan","N/A","N/A","<5","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","BRACETTI PLAZA","Manhattan","N/A","N/A","9","N/A","N/A","N/A","N/A","N/A","<5","N/A"
"2020","BETHUNE GARDENS","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","BARUCH HOUSES ADDITION","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","BARUCH","Manhattan","14","17.76","21","9","<5","<5","15.80","<5","<5","N/A"
"2020","AUDUBON","Manhattan","N/A","N/A","<5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","AMSTERDAM ADDITION","Manhattan","<5","15.80","N/A","<5","<5","<5","15.00","N/A","<5","N/A"
"2020","AMSTERDAM","Manhattan","6","18.22","10","<5","<5","<5","15.00","N/A","<5","N/A"
"2020","830 AMSTERDAM AVENUE","Manhattan","<5","17.35","<5","<5","<5","<5","15.80","N/A","<5","N/A"
"2020","45 ALLEN STREET","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<5","N/A"
