"Year","NYCHA Development","Borough","Total number of resident job placements","Average wage of such residents","Total number of resident connections to services","Total number of residents that applied for the NYCHA Resident Training Academy","Total number of residents that were accepted and enrolled","Total number residents placed into full-time or part-time jobs","Average Wage of such residents","Number of residents that enrolled in financial counseling services/workshops through the REES Zone Partner program","Total number of residents enrolled in vocational training programs through the program","Total number of residents enrolled in prep courses for English as a Second Language (ESOL) or the Test Assessing Secondary Completion (TASC) through the program"
"2024","PENNSYLVANIA AVENUE-WORTMAN AVENUE",,"N/A","N/A","< 5","< 5","N/A","N/A","N/A","< 5","N/A","N/A"
"2024","PELHAM PARKWAY",,"5","$34.70","26","7","< 5","N/A","N/A","< 5","< 5","N/A"
"2024","PATTERSON",,"8","$25.89","32","< 5","< 5","< 5","$17.31","5","5","N/A"
"2024","PARKSIDE",,"< 5","$21.02","9","< 5","< 5","N/A","N/A","N/A","< 5","N/A"
"2024","PARK ROCK REHAB",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","PARK AVENUE-EAST 122ND, 123RD STREETS",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","PALMETTO GARDENS",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","O'DWYER GARDENS",,"7","$17.11","13","< 5","< 5","N/A","N/A","N/A","< 5","N/A"
"2024","OCEAN HILL-BROWNSVILLE",,"< 5","$17.31","< 5","< 5","< 5","< 5","$17.31","N/A","N/A","N/A"
"2024","OCEAN HILL APARTMENTS",,"< 5","$18.44","8","5","< 5","N/A","N/A","N/A","N/A","N/A"
"2024","OCEAN BAY APARTMENTS (OCEANSIDE)",,"< 5","$17.31","< 5","< 5","N/A","< 5","$17.31","N/A","< 5","N/A"
"2024","OCEAN BAY APARTMENTS (BAYSIDE)",,"< 5","$32.41","17","< 5","< 5","< 5","$17.31","N/A","< 5","N/A"
"2024","NOSTRAND",,"5","$17.31","51","10","< 5","< 5","$17.31","< 5","< 5","N/A"
"2024","NEW LANE AREA",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","MURPHY",,"< 5","$17.31","5","< 5","< 5","< 5","$17.31","< 5","N/A","N/A"
"2024","MOTT HAVEN",,"12","$21.10","25","11","< 5","< 5","$17.31","< 5","< 5","N/A"
"2024","MORRISANIA AIR RIGHTS",,"5","$24.33","13","< 5","< 5","< 5","$17.66","< 5","N/A","N/A"
"2024","MORRISANIA",,"< 5","$41.45","11","7","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","MORRIS PARK SENIOR CITIZENS HOME",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","< 5","N/A"
"2024","MORRIS II",,"< 5","$22.67","8","< 5","< 5","N/A","N/A","< 5","< 5","N/A"
"2024","MORRIS I",,"6","$26.38","36","12","< 5","< 5","$17.31","< 5","8","N/A"
"2024","MOORE",,"< 5","$27.70","8","N/A","N/A","N/A","N/A","N/A","< 5","N/A"
"2024","MONROE",,"< 5","$17.31","15","< 5","N/A","< 5","$17.31","N/A","< 5","N/A"
"2024","MITCHEL",,"< 5","$17.31","25","10","< 5","< 5","$17.31","N/A","5","N/A"
"2024","MILL BROOK EXTENSION",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","MILL BROOK",,"10","$20.08","6","9","N/A","< 5","$29.38","< 5","< 5","N/A"
"2024","MIDDLETOWN PLAZA",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","METRO NORTH PLAZA",,"< 5","$17.31","< 5","N/A","N/A","N/A","N/A","N/A","< 5","N/A"
"2024","MELTZER TOWER",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","MELROSE",,"6","$18.87","35","14","< 5","< 5","$18.87","N/A","< 5","N/A"
"2024","MCKINLEY",,"< 5","$17.31","13","6","< 5","< 5","$17.31","N/A","< 5","N/A"
"2024","MARSHALL PLAZA",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","MARLBORO",,"< 5","$23.00","36","8","< 5","N/A","N/A","N/A","5","N/A"
"2024","MARINER'S HARBOR",,"< 5","$20.68","102","< 5","< 5","< 5","$17.31","< 5","< 5","N/A"
"2024","MARCY AVENUE-GREENE AVENUE SITE B",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","MARCY AVENUE-GREENE AVENUE SITE A",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","MARCY",,"12","$18.76","30","26","5","5","$17.31","< 5","< 5","N/A"
"2024","MARBLE HILL",,"< 5","$36.75","35","< 5","< 5","< 5","$17.31","< 5","8","N/A"
"2024","MANHATTANVILLE REHAB (GROUP 3)",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","MANHATTANVILLE REHAB (GROUP 2)",,"N/A","N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","RIIS II",,"< 5","$22.50","< 5","< 5","< 5","N/A","N/A","N/A","N/A","N/A"
"2024","MANHATTANVILLE",,"5","$17.73","23","7","< 5","< 5","$17.31","N/A","14","N/A"
"2024","LOWER EAST SIDE REHAB (GROUP 5)",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","LOWER EAST SIDE III",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","LOWER EAST SIDE II",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","LOWER EAST SIDE I INFILL",,"< 5","$17.31","< 5","< 5","< 5","< 5","$17.31","N/A","N/A","N/A"
"2024","LOW HOUSES",,"6","$17.31","17","12","< 5","< 5","$17.31","N/A","5","N/A"
"2024","LONGFELLOW AVENUE REHAB",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","LONG ISLAND BAPTIST HOUSES",,"< 5","$17.31","< 5","< 5","< 5","< 5","$17.31","N/A","N/A","N/A"
"2024","LINDEN",,"5","$24.81","19","20","6","< 5","$17.31","< 5","N/A","N/A"
"2024","LINCOLN",,"5","$20.27","38","13","< 5","< 5","$17.31","< 5","10","N/A"
"2024","LEXINGTON",,"< 5","$17.11","14","< 5","N/A","N/A","N/A","N/A","< 5","N/A"
"2024","LENOX ROAD-ROCKAWAY PARKWAY",,"< 5","$29.38","N/A","N/A","N/A","< 5","$17.31","N/A","N/A","N/A"
"2024","LEHMAN VILLAGE",,"N/A","N/A","< 5","< 5","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","LEAVITT STREET-34TH AVENUE",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","LATIMER GARDENS",,"N/A","N/A","6","< 5","N/A","N/A","N/A","N/A","< 5","N/A"
"2024","LAFAYETTE",,"10","$23.37","34","15","< 5","< 5","$17.31","< 5","10","N/A"
"2024","LA GUARDIA ADDITION",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","LA GUARDIA",,"9","$24.05","43","8","< 5","< 5","$17.31","N/A","9","N/A"
"2024","KINGSBOROUGH EXTENSION",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","KINGSBOROUGH",,"7","$24.53","64","12","< 5","< 5","$17.31","< 5","< 5","N/A"
"2024","KING TOWERS",,"5","$19.31","37","9","< 5","< 5","$17.31","< 5","8","N/A"
"2024","JOHNSON",,"12","$18.33","27","8","< 5","< 5","$17.31","< 5","< 5","N/A"
"2024","JEFFERSON",,"13","$26.49","35","< 5","< 5","< 5","$17.31","N/A","7","N/A"
"2024","JACKSON",,"8","$35.14","16","5","< 5","< 5","$17.31","< 5","< 5","N/A"
"2024","ISAACS",,"7","$23.41","10","< 5","< 5","< 5","$18.87","N/A","< 5","N/A"
"2024","INTERNATIONAL TOWER",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","INGERSOLL",,"8","$22.65","69","16","< 5","< 5","$17.31","< 5","19","N/A"
"2024","INDEPENDENCE",,"< 5","$17.31","16","8","< 5","< 5","$17.31","< 5","< 5","N/A"
"2024","HYLAN",,"< 5","$36.05","< 5","< 5","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","HUNTS POINT AVENUE REHAB",,"< 5","$17.78","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","HUGHES APARTMENTS",,"< 5","$31.01","16","7","< 5","< 5","$17.31","N/A","< 5","N/A"
"2024","HOWARD AVENUE-PARK PLACE",,"< 5","$17.31","< 5","N/A","N/A","N/A","N/A","N/A","< 5","N/A"
"2024","HOWARD AVENUE",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","< 5","N/A"
