year,nycha_development,borough,total_number_of_resident_job_placements,average_wage_of_such_residents,total_number_of_resident_connections_to_services,total_number_of_residents_that_applied_for_the_nycha_resident_training_academy,total_number_of_residents_that_were_accepted_and_enrolled,total_number_residents_placed_into_full-time_or_part-time_jobs,number_of_residents_that_enrolled_in_financial_counseling_services/workshops_through_the_rees_zone_partner_program,total_number_of_residents_enrolled_in_vocational_training_programs_through_the_program,total_number_of_residents_enrolled_in_prep_courses_for_english_as_a_second_language_(esol)_or_the_test_assessing_secondary_completion_(tasc)_through_the_program,service_connections
2024.0,RANGEL,Unknown,0.0,0.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,20.0
2024.0,RANDALL AVENUE-BALCOM AVENUE,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,RALPH AVENUE REHAB,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,QUEENSBRIDGE SOUTH,Unknown,11.0,27.37,47.0,14.0,0.0,0.0,0.0,8.0,0.0,47.0
2024.0,QUEENSBRIDGE NORTH,Unknown,7.0,20.31,45.0,9.0,0.0,0.0,0.0,6.0,0.0,45.0
2024.0,PUBLIC SCHOOL 139 (CONVERSION),Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,POMONOK,Unknown,10.0,20.9,57.0,15.0,0.0,0.0,0.0,6.0,0.0,57.0
2024.0,POLO GROUNDS TOWERS,Unknown,12.0,22.42,26.0,17.0,10.0,5.0,0.0,5.0,0.0,26.0
2024.0,PINK,Unknown,10.0,25.48,53.0,15.0,0.0,0.0,0.0,5.0,0.0,53.0
2024.0,PENNSYLVANIA AVENUE-WORTMAN AVENUE,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,PELHAM PARKWAY,Unknown,5.0,34.7,26.0,7.0,0.0,0.0,0.0,0.0,0.0,26.0
2024.0,PATTERSON,Unknown,8.0,25.89,32.0,0.0,0.0,0.0,5.0,5.0,0.0,32.0
2024.0,PARKSIDE,Unknown,0.0,21.02,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
2024.0,PARK ROCK REHAB,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,"PARK AVENUE-EAST 122ND, 123RD STREETS",Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,PALMETTO GARDENS,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
